name,set_code,card_number,class_name,power,toughness,starting_loyalty,starting_defense,mana_value,rarity,types,subtypes,supertypes,mana_costs,rules,black,blue,green,red,white,frame_color,frame_style,various_art
"Aerie Worshippers","UNK","0","mage.cards.a.AerieWorshippers","2","4","","","4","common","CREATURE","HUMAN CLERIC","","{3}{U}","","false","true","false","false","false","blue","","false"
"Azors Elocutors","UNK","0","mage.cards.a.AzorsElocutors","3","5","","","7","common","CREATURE","HUMAN ADVISOR","","{3}{W/U}{W/U}","","false","true","false","false","true","multicolor","","false"
"Angel Of Mercy","UNK","0","mage.cards.a.AngelOfMercy","3","3","","","5","common","CREATURE","ANGEL","","{4}{W}","","false","false","false","false","true","white","","false"
"Aven Mindcensor","UNK","0","mage.cards.a.AvenMindcensor","2","1","","","3","common","CREATURE","BIRD WIZARD","","{2}{W}","","false","false","false","false","true","white","","false"
"Arcane Encyclopedia","UNK","0","mage.cards.a.ArcaneEncyclopedia","","","","","3","common","ARTIFACT","","","{3}","","false","false","false","false","false","colorless","","false"
"Acridian","UNK","0","mage.cards.a.Acridian","2","4","","","2","common","CREATURE","INSECT","","{1}{G}","","false","false","true","false","false","green","","false"
"Ankle Biter","UNK","0","mage.cards.a.AnkleBiter","1","1","","","1","common","CREATURE","SNAKE","","{G}","","false","false","true","false","false","green","","false"
"Abjure","UNK","0","mage.cards.a.Abjure","","","","","1","common","INSTANT","","","{U}","","false","true","false","false","false","blue","","false"
"Anafenza Unyielding Lineage","UNK","0","mage.cards.a.AnafenzaUnyieldingLineage","2","2","","","3","common","CREATURE","SPIRIT SOLDIER","","{2}{W}","","false","false","false","false","true","white","","false"
"Air Bladder","UNK","0","mage.cards.a.AirBladder","","","","","1","common","ENCHANTMENT","AURA","","{U}","","false","true","false","false","false","blue","","false"
"Arcane Lighthouse","UNK","0","mage.cards.a.ArcaneLighthouse","","","","","0","common","LAND","","","","","false","false","false","false","false","colorless","","false"
"Ashioks Erasure","UNK","0","mage.cards.a.AshioksErasure","","","","","4","common","ENCHANTMENT","","","{2}{U}{U}","","false","true","false","false","false","blue","","false"
"Angel Of Grace","UNK","0","mage.cards.a.AngelOfGrace","5","4","","","5","common","CREATURE","ANGEL","","{3}{W}{W}","","false","false","false","false","true","white","","false"
"Acidic Slime","UNK","0","mage.cards.a.AcidicSlime","2","2","","","5","common","CREATURE","OOZE","","{3}{G}{G}","","false","false","true","false","false","green","","false"
"All Will Be One","UNK","0","mage.cards.a.AllWillBeOne","","","","","5","common","ENCHANTMENT","","","{3}{R}{R}","","false","false","false","true","false","red","","false"
"Axebane Beast","UNK","0","mage.cards.a.AxebaneBeast","3","4","","","4","common","CREATURE","BEAST","","{3}{G}","","false","false","true","false","false","green","","false"
"Azorius Guildgate","UNK","0","mage.cards.a.AzoriusGuildgate","","","","","0","common","LAND","GATE","","","","false","false","false","false","false","colorless","","false"
"Ambush Party","UNK","0","mage.cards.a.AmbushParty","3","1","","","5","common","CREATURE","HUMAN ROGUE","","{4}{R}","","false","false","false","true","false","red","","false"
"Abyssal Persecutor","UNK","0","mage.cards.a.AbyssalPersecutor","6","6","","","4","common","CREATURE","DEMON","","{2}{B}{B}","","true","false","false","false","false","black","","false"
"Arcbound Prototype","UNK","0","mage.cards.a.ArcboundPrototype","0","0","","","2","common","ARTIFACT CREATURE","ASSEMBLY_WORKER","","{1}{W}","","false","false","false","false","true","white","","false"
"All That Glitters","UNK","0","mage.cards.a.AllThatGlitters","","","","","2","common","ENCHANTMENT","AURA","","{1}{W}","","false","false","false","false","true","white","","false"
"Arcane Bombardment","UNK","0","mage.cards.a.ArcaneBombardment","","","","","6","common","ENCHANTMENT","","","{4}{R}{R}","","false","false","false","true","false","red","","false"
"Act Of Treason","UNK","0","mage.cards.a.ActOfTreason","","","","","3","common","SORCERY","","","{2}{R}","","false","false","false","true","false","red","","false"
"Astarions Thirst","UNK","0","mage.cards.a.AstarionsThirst","","","","","4","common","INSTANT","","","{3}{B}","","true","false","false","false","false","black","","false"
"Azami Lady Of Scrolls","UNK","0","mage.cards.a.AzamiLadyOfScrolls","0","2","","","5","common","CREATURE","HUMAN WIZARD","","{2}{U}{U}{U}","","false","true","false","false","false","blue","","false"
"Abandon The Post","UNK","0","mage.cards.a.AbandonThePost","","","","","2","common","SORCERY","","","{1}{R}","","false","false","false","true","false","red","","false"
"All Seeing Arbiter","UNK","0","mage.cards.a.AllSeeingArbiter","5","4","","","6","common","CREATURE","AVATAR","","{4}{U}{U}","","false","true","false","false","false","blue","","false"
"Anoint","UNK","0","mage.cards.a.Anoint","","","","","1","common","INSTANT","","","{W}","","false","false","false","false","true","white","","false"
"Anje Maid Of Dishonor","UNK","0","mage.cards.a.AnjeMaidOfDishonor","4","5","","","4","common","CREATURE","VAMPIRE","","{2}{B}{R}","","true","false","false","true","false","multicolor","","false"
"Azorius Skyguard","UNK","0","mage.cards.a.AzoriusSkyguard","3","3","","","6","common","CREATURE","HUMAN KNIGHT","","{4}{W}{U}","","false","true","false","false","true","multicolor","","false"
"Assimilation Aegis","UNK","0","mage.cards.a.AssimilationAegis","","","","","3","common","ARTIFACT","EQUIPMENT","","{1}{W}{U}","","false","true","false","false","true","multicolor","","false"
"Attrition","UNK","0","mage.cards.a.Attrition","","","","","3","common","ENCHANTMENT","","","{1}{B}{B}","","true","false","false","false","false","black","","false"
"Architect Of Restoration","UNK","0","mage.cards.a.ArchitectOfRestoration","3","4","","","0","common","ENCHANTMENT CREATURE","FOX MONK","","","","false","false","false","false","false","colorless","","false"
"Awesome Presence","UNK","0","mage.cards.a.AwesomePresence","","","","","1","common","ENCHANTMENT","AURA","","{U}","","false","true","false","false","false","blue","","false"
"Alela Cunning Conqueror","UNK","0","mage.cards.a.AlelaCunningConqueror","2","4","","","4","common","CREATURE","FAERIE WARLOCK","","{2}{U}{B}","","true","true","false","false","false","multicolor","","false"
"Angelic Favor","UNK","0","mage.cards.a.AngelicFavor","","","","","4","common","INSTANT","","","{3}{W}","","false","false","false","false","true","white","","false"
"Awe For The Guilds","UNK","0","mage.cards.a.AweForTheGuilds","","","","","3","common","SORCERY","","","{2}{R}","","false","false","false","true","false","red","","false"
"Avacyns Judgment","UNK","0","mage.cards.a.AvacynsJudgment","","","","","2","common","SORCERY","","","{1}{R}","","false","false","false","true","false","red","","false"
"Allure Of The Unknown","UNK","0","mage.cards.a.AllureOfTheUnknown","","","","","5","common","SORCERY","","","{3}{B}{R}","","true","false","false","true","false","multicolor","","false"
"Allay","UNK","0","mage.cards.a.Allay","","","","","2","common","INSTANT","","","{1}{W}","","false","false","false","false","true","white","","false"
"Azorius Justiciar","UNK","0","mage.cards.a.AzoriusJusticiar","2","2","","","4","common","CREATURE","HUMAN WIZARD","","{2}{W}{W}","","false","false","false","false","true","white","","false"
"Ascent Of The Worthy","UNK","0","mage.cards.a.AscentOfTheWorthy","","","","","3","common","ENCHANTMENT","SAGA","","{1}{W}{B}","","true","false","false","false","true","multicolor","","false"
"Artificers Dragon","UNK","0","mage.cards.a.ArtificersDragon","4","4","","","6","common","ARTIFACT CREATURE","DRAGON","","{6}","","false","false","false","false","false","colorless","","false"
"Absolute Virtue","UNK","0","mage.cards.a.AbsoluteVirtue","8","8","","","8","common","CREATURE","AVATAR WARRIOR","","{6}{W}{U}","","false","true","false","false","true","multicolor","","false"
"Alluring Suitor","UNK","0","mage.cards.a.AlluringSuitor","2","3","","","3","common","CREATURE","VAMPIRE","","{2}{R}","","false","false","false","true","false","red","","false"
"Accursed Spirit","UNK","0","mage.cards.a.AccursedSpirit","3","2","","","4","common","CREATURE","SPIRIT","","{3}{B}","","true","false","false","false","false","black","","false"
"Aspiring Aeronaut","UNK","0","mage.cards.a.AspiringAeronaut","1","2","","","4","common","CREATURE","HUMAN ARTIFICER","","{3}{U}","","false","true","false","false","false","blue","","false"
"Akroan Line Breaker","UNK","0","mage.cards.a.AkroanLineBreaker","2","1","","","3","common","CREATURE","HUMAN WARRIOR","","{2}{R}","","false","false","false","true","false","red","","false"
"Arjun The Shifting Flame","UNK","0","mage.cards.a.ArjunTheShiftingFlame","5","5","","","6","common","CREATURE","SPHINX WIZARD","","{4}{U}{R}","","false","true","false","true","false","multicolor","","false"
"Arcane Heist","UNK","0","mage.cards.a.ArcaneHeist","","","","","4","common","SORCERY","","","{2}{U}{U}","","false","true","false","false","false","blue","","false"
"Aethersquall Ancient","UNK","0","mage.cards.a.AethersquallAncient","6","6","","","7","common","CREATURE","LEVIATHAN","","{5}{U}{U}","","false","true","false","false","false","blue","","false"
"Akki Drillmaster","UNK","0","mage.cards.a.AkkiDrillmaster","2","2","","","3","common","CREATURE","GOBLIN SHAMAN","","{2}{R}","","false","false","false","true","false","red","","false"
"Ambush Wolf","UNK","0","mage.cards.a.AmbushWolf","4","2","","","3","common","CREATURE","WOLF","","{2}{G}","","false","false","true","false","false","green","","false"
"Aquamorph Entity","UNK","0","mage.cards.a.AquamorphEntity","0","0","","","4","common","CREATURE","SHAPESHIFTER","","{2}{U}{U}","","false","true","false","false","false","blue","","false"
"Ashnod Flesh Mechanist","UNK","0","mage.cards.a.AshnodFleshMechanist","1","1","","","1","common","CREATURE","","","{B}","","true","false","false","false","false","black","","false"
"An Zerrin Ruins","UNK","0","mage.cards.a.AnZerrinRuins","","","","","4","common","ENCHANTMENT","","","{2}{R}{R}","","false","false","false","true","false","red","","false"
"Aviation Pioneer","UNK","0","mage.cards.a.AviationPioneer","1","2","","","3","common","CREATURE","HUMAN ARTIFICER","","{2}{U}","","false","true","false","false","false","blue","","false"
"Anathemancer","UNK","0","mage.cards.a.Anathemancer","2","2","","","3","common","CREATURE","ZOMBIE WIZARD","","{1}{B}{R}","","true","false","false","true","false","multicolor","","false"
"Aven Courier","UNK","0","mage.cards.a.AvenCourier","1","1","","","2","common","CREATURE","BIRD ADVISOR","","{1}{U}","","false","true","false","false","false","blue","","false"
"Archmage Ascension","UNK","0","mage.cards.a.ArchmageAscension","","","","","3","common","ENCHANTMENT","","","{2}{U}","","false","true","false","false","false","blue","","false"
"Assault Suit","UNK","0","mage.cards.a.AssaultSuit","","","","","4","common","ARTIFACT","EQUIPMENT","","{4}","","false","false","false","false","false","colorless","","false"
"Armory Guard","UNK","0","mage.cards.a.ArmoryGuard","2","5","","","4","common","CREATURE","GIANT SOLDIER","","{3}{W}","","false","false","false","false","true","white","","false"
"Aerial Modification","UNK","0","mage.cards.a.AerialModification","","","","","5","common","ENCHANTMENT","AURA","","{4}{W}","","false","false","false","false","true","white","","false"
"Alistair The Brigadier","UNK","0","mage.cards.a.AlistairTheBrigadier","3","3","","","4","common","CREATURE","HUMAN SOLDIER","","{1}{G}{W}{U}","","false","true","true","false","true","multicolor","","false"
"Ally Encampment","UNK","0","mage.cards.a.AllyEncampment","","","","","0","common","LAND","","","","","false","false","false","false","false","colorless","","false"
"Arctic Nishoba","UNK","0","mage.cards.a.ArcticNishoba","6","6","","","6","common","CREATURE","CAT WARRIOR","","{5}{G}","","false","false","true","false","false","green","","false"
"Agate Assault","UNK","0","mage.cards.a.AgateAssault","","","","","3","common","SORCERY","","","{2}{R}","","false","false","false","true","false","red","","false"
"Awakener Druid","UNK","0","mage.cards.a.AwakenerDruid","1","1","","","3","common","CREATURE","HUMAN DRUID","","{2}{G}","","false","false","true","false","false","green","","false"
"Absolving Lammasu","UNK","0","mage.cards.a.AbsolvingLammasu","4","3","","","5","common","CREATURE","LAMMASU","","{4}{W}","","false","false","false","false","true","white","","false"
"Awakening Of Vitu Ghazi","UNK","0","mage.cards.a.AwakeningOfVituGhazi","0","0","","","5","common","INSTANT","ELEMENTAL","","{3}{G}{G}","","false","false","true","false","false","green","","false"
"Airtight Alibi","UNK","0","mage.cards.a.AirtightAlibi","","","","","3","common","ENCHANTMENT","AURA","","{2}{G}","","false","false","true","false","false","green","","false"
"Aspect Of Hydra","UNK","0","mage.cards.a.AspectOfHydra","","","","","1","common","INSTANT","","","{G}","","false","false","true","false","false","green","","false"
"Assaultron Dominator","UNK","0","mage.cards.a.AssaultronDominator","2","2","","","2","common","ARTIFACT CREATURE","ROBOT","","{1}{R}","","false","false","false","true","false","red","","false"
"Anzrag The Quake Mole","UNK","0","mage.cards.a.AnzragTheQuakeMole","8","4","","","4","common","CREATURE","MOLE GOD","","{2}{R}{G}","","false","false","true","true","false","multicolor","","false"
"Armored Ascension","UNK","0","mage.cards.a.ArmoredAscension","","","","","4","common","ENCHANTMENT","AURA","","{3}{W}","","false","false","false","false","true","white","","false"
"Assure Assemble","UNK","0","mage.cards.a.AssureAssemble","","","","","4","common","INSTANT","","","{G/W}{G/W}","","false","false","true","false","true","multicolor","","false"
"Aetherjacket","UNK","0","mage.cards.a.Aetherjacket","2","1","","","3","common","ARTIFACT CREATURE","THOPTER","","{3}","","false","false","false","false","false","colorless","","false"
"Alive Well","UNK","0","mage.cards.a.AliveWell","","","","","4","common","SORCERY","","","{3}{G}","","false","false","true","false","false","green","","false"
"Anara Wolvid Familiar","UNK","0","mage.cards.a.AnaraWolvidFamiliar","4","4","","","4","common","CREATURE","WOLF BEAST","","{3}{G}","","false","false","true","false","false","green","","false"
"Argoth Sanctum Of Nature","UNK","0","mage.cards.a.ArgothSanctumOfNature","","","","","0","common","LAND","","","","","false","false","false","false","false","colorless","","false"
"Aether Barrier","UNK","0","mage.cards.a.AetherBarrier","","","","","3","common","ENCHANTMENT","","","{2}{U}","","false","true","false","false","false","blue","","false"
"Arcbound Bruiser","UNK","0","mage.cards.a.ArcboundBruiser","0","0","","","5","common","ARTIFACT CREATURE","GOLEM","","{5}","","false","false","false","false","false","colorless","","false"
"Arterial Flow","UNK","0","mage.cards.a.ArterialFlow","","","","","3","common","SORCERY","","","{1}{B}{B}","","true","false","false","false","false","black","","false"
"Ashnods Battle Gear","UNK","0","mage.cards.a.AshnodsBattleGear","","","","","2","common","ARTIFACT","","","{2}","","false","false","false","false","false","colorless","","false"
"Adarkar Windform","UNK","0","mage.cards.a.AdarkarWindform","3","3","","","5","common","CREATURE","ILLUSION","","{4}{U}","","false","true","false","false","false","blue","","false"
"Al Bhed Salvagers","UNK","0","mage.cards.a.AlBhedSalvagers","2","3","","","3","common","CREATURE","HUMAN ARTIFICER WARRIOR","","{2}{B}","","true","false","false","false","false","black","","false"
"Awaken The Woods","UNK","0","mage.cards.a.AwakenTheWoods","","","","","3","common","SORCERY","","","{X}{G}{G}","","false","false","true","false","false","green","","false"
"Archdruids Charm","UNK","0","mage.cards.a.ArchdruidsCharm","","","","","3","common","INSTANT","","","{G}{G}{G}","","false","false","true","false","false","green","","false"
"Aphetto Vulture","UNK","0","mage.cards.a.AphettoVulture","3","2","","","6","common","CREATURE","ZOMBIE BIRD","","{4}{B}{B}","","true","false","false","false","false","black","","false"
"Audacious Infiltrator","UNK","0","mage.cards.a.AudaciousInfiltrator","3","1","","","2","common","CREATURE","DWARF ROGUE","","{1}{W}","","false","false","false","false","true","white","","false"
"Arcane Melee","UNK","0","mage.cards.a.ArcaneMelee","","","","","5","common","ENCHANTMENT","","","{4}{U}","","false","true","false","false","false","blue","","false"
"Assault Strobe","UNK","0","mage.cards.a.AssaultStrobe","","","","","1","common","SORCERY","","","{R}","","false","false","false","true","false","red","","false"
"Archers Parapet","UNK","0","mage.cards.a.ArchersParapet","0","5","","","2","common","CREATURE","WALL","","{1}{G}","","false","false","true","false","false","green","","false"
"Agonizing Syphon","UNK","0","mage.cards.a.AgonizingSyphon","","","","","4","common","SORCERY","","","{3}{B}","","true","false","false","false","false","black","","false"
"Always Watching","UNK","0","mage.cards.a.AlwaysWatching","","","","","3","common","ENCHANTMENT","","","{1}{W}{W}","","false","false","false","false","true","white","","false"
"Aleshas Legacy","UNK","0","mage.cards.a.AleshasLegacy","","","","","2","common","INSTANT","","","{1}{B}","","true","false","false","false","false","black","","false"
"Assemble The Legion","UNK","0","mage.cards.a.AssembleTheLegion","","","","","5","common","ENCHANTMENT","","","{3}{R}{W}","","false","false","false","true","true","multicolor","","false"
"Aetherborn Marauder","UNK","0","mage.cards.a.AetherbornMarauder","2","2","","","4","common","CREATURE","AETHERBORN ROGUE","","{3}{B}","","true","false","false","false","false","black","","false"
"Angel Of The Dire Hour","UNK","0","mage.cards.a.AngelOfTheDireHour","5","4","","","7","common","CREATURE","ANGEL","","{5}{W}{W}","","false","false","false","false","true","white","","false"
"Aegis Angel","UNK","0","mage.cards.a.AegisAngel","5","5","","","6","common","CREATURE","ANGEL","","{4}{W}{W}","","false","false","false","false","true","white","","false"
"Agent Of Treachery","UNK","0","mage.cards.a.AgentOfTreachery","2","3","","","7","common","CREATURE","HUMAN ROGUE","","{5}{U}{U}","","false","true","false","false","false","blue","","false"
"Anzrags Rampage","UNK","0","mage.cards.a.AnzragsRampage","","","","","5","common","SORCERY","","","{3}{R}{R}","","false","false","false","true","false","red","","false"
"Anguished Unmaking","UNK","0","mage.cards.a.AnguishedUnmaking","","","","","3","common","INSTANT","","","{1}{W}{B}","","true","false","false","false","true","multicolor","","false"
"Abunas Chant","UNK","0","mage.cards.a.AbunasChant","","","","","4","common","INSTANT","","","{3}{W}","","false","false","false","false","true","white","","false"
"Argothian Sprite","UNK","0","mage.cards.a.ArgothianSprite","2","2","","","2","common","CREATURE","FAERIE","","{1}{G}","","false","false","true","false","false","green","","false"
"Ancient Den","UNK","0","mage.cards.a.AncientDen","","","","","0","common","ARTIFACT LAND","","","","","false","false","false","false","false","colorless","","false"
"Auriok Survivors","UNK","0","mage.cards.a.AuriokSurvivors","4","6","","","6","common","CREATURE","HUMAN SOLDIER","","{5}{W}","","false","false","false","false","true","white","","false"
"Aeolipile","UNK","0","mage.cards.a.Aeolipile","","","","","2","common","ARTIFACT","","","{2}","","false","false","false","false","false","colorless","","false"
"All Of History All At Once","UNK","0","mage.cards.a.AllOfHistoryAllAtOnce","","","","","4","common","SORCERY","","","{2}{U}{U}","","false","true","false","false","false","blue","","false"
"Aphetto Exterminator","UNK","0","mage.cards.a.AphettoExterminator","3","1","","","3","common","CREATURE","","","{2}{B}","","true","false","false","false","false","black","","false"
"Arm The Cathars","UNK","0","mage.cards.a.ArmTheCathars","","","","","3","common","SORCERY","","","{1}{W}{W}","","false","false","false","false","true","white","","false"
"Arachnus Web","UNK","0","mage.cards.a.ArachnusWeb","","","","","3","common","ENCHANTMENT","AURA","","{2}{G}","","false","false","true","false","false","green","","false"
"Avatar Of Might","UNK","0","mage.cards.a.AvatarOfMight","8","8","","","8","common","CREATURE","AVATAR","","{6}{G}{G}","","false","false","true","false","false","green","","false"
"Aclazotz Deepest Betrayal","UNK","0","mage.cards.a.AclazotzDeepestBetrayal","4","4","","","5","common","CREATURE","BAT GOD","","{3}{B}{B}","","true","false","false","false","false","black","","false"
"Adaptive Gemguard","UNK","0","mage.cards.a.AdaptiveGemguard","3","3","","","4","common","ARTIFACT CREATURE","GNOME","","{3}{W}","","false","false","false","false","true","white","","false"
"Aerial Formation","UNK","0","mage.cards.a.AerialFormation","","","","","1","common","INSTANT","","","{U}","","false","true","false","false","false","blue","","false"
"Ancient Gold Dragon","UNK","0","mage.cards.a.AncientGoldDragon","7","10","","","7","common","CREATURE","ELDER DRAGON","","{5}{W}{W}","","false","false","false","false","true","white","","false"
"Aquitects Will","UNK","0","mage.cards.a.AquitectsWill","","","","","1","common","KINDRED SORCERY","MERFOLK","","{U}","","false","true","false","false","false","blue","","false"
"Aggressive Mammoth","UNK","0","mage.cards.a.AggressiveMammoth","8","8","","","6","common","CREATURE","ELEPHANT","","{3}{G}{G}{G}","","false","false","true","false","false","green","","false"
"Air Servant","UNK","0","mage.cards.a.AirServant","4","3","","","5","common","CREATURE","ELEMENTAL","","{4}{U}","","false","true","false","false","false","blue","","false"
"All Is Dust","UNK","0","mage.cards.a.AllIsDust","","","","","7","common","KINDRED SORCERY","ELDRAZI","","{7}","","false","false","false","false","false","colorless","","false"
"Aven Gagglemaster","UNK","0","mage.cards.a.AvenGagglemaster","4","3","","","5","common","CREATURE","BIRD WARRIOR","","{3}{W}{W}","","false","false","false","false","true","white","","false"
"Ana Sanctuary","UNK","0","mage.cards.a.AnaSanctuary","","","","","3","common","ENCHANTMENT","","","{2}{G}","","false","false","true","false","false","green","","false"
"Armillary Sphere","UNK","0","mage.cards.a.ArmillarySphere","","","","","2","common","ARTIFACT","","","{2}","","false","false","false","false","false","colorless","","false"
"Ainok Wayfarer","UNK","0","mage.cards.a.AinokWayfarer","1","1","","","2","common","CREATURE","DOG SCOUT","","{1}{G}","","false","false","true","false","false","green","","false"
"Anointed Deacon","UNK","0","mage.cards.a.AnointedDeacon","3","3","","","5","common","CREATURE","VAMPIRE CLERIC","","{4}{B}","","true","false","false","false","false","black","","false"
"Admonition Angel","UNK","0","mage.cards.a.AdmonitionAngel","6","6","","","6","common","CREATURE","ANGEL","","{3}{W}{W}{W}","","false","false","false","false","true","white","","false"
"Ashiok Nightmare Muse","UNK","0","mage.cards.a.AshiokNightmareMuse","","","5","","5","common","PLANESWALKER","ASHIOK","","{3}{U}{B}","","true","true","false","false","false","multicolor","","false"
"Atrocious Experiment","UNK","0","mage.cards.a.AtrociousExperiment","","","","","3","common","SORCERY","","","{2}{B}","","true","false","false","false","false","black","","false"
"Anaconda","UNK","0","mage.cards.a.Anaconda","3","3","","","4","common","CREATURE","SNAKE","","{3}{G}","","false","false","true","false","false","green","","false"
"Amonkhet Raceway","UNK","0","mage.cards.a.AmonkhetRaceway","","","","","0","common","LAND","","","","","false","false","false","false","false","colorless","","false"
"Adrix And Nev Twincasters","UNK","0","mage.cards.a.AdrixAndNevTwincasters","2","2","","","4","common","CREATURE","MERFOLK WIZARD","","{2}{G}{U}","","false","true","true","false","false","multicolor","","false"
"Aether Flash","UNK","0","mage.cards.a.AetherFlash","","","","","4","common","ENCHANTMENT","","","{2}{R}{R}","","false","false","false","true","false","red","","false"
"Ambuscade","UNK","0","mage.cards.a.Ambuscade","","","","","3","common","INSTANT","","","{2}{G}","","false","false","true","false","false","green","","false"
"Abyssal Horror","UNK","0","mage.cards.a.AbyssalHorror","2","2","","","6","common","CREATURE","HORROR","","{4}{B}{B}","","true","false","false","false","false","black","","false"
"Arcbound Fiend","UNK","0","mage.cards.a.ArcboundFiend","0","0","","","6","common","ARTIFACT CREATURE","HORROR","","{6}","","false","false","false","false","false","colorless","","false"
"Aesi Tyrant Of Gyre Strait","UNK","0","mage.cards.a.AesiTyrantOfGyreStrait","5","5","","","6","common","CREATURE","SERPENT","","{4}{G}{U}","","false","true","true","false","false","multicolor","","false"
"Avian Oddity","UNK","0","mage.cards.a.AvianOddity","2","4","","","4","common","CREATURE","BIRD","","{3}{U}","","false","true","false","false","false","blue","","false"
"Arbalest Engineers","UNK","0","mage.cards.a.ArbalestEngineers","2","2","","","3","common","CREATURE","HUMAN ARTIFICER","","{1}{R}{G}","","false","false","true","true","false","multicolor","","false"
"Accorders Shield","UNK","0","mage.cards.a.AccordersShield","","","","","0","common","ARTIFACT","EQUIPMENT","","{0}","","false","false","false","false","false","colorless","","false"
"Arcbond","UNK","0","mage.cards.a.Arcbond","","","","","3","common","INSTANT","","","{2}{R}","","false","false","false","true","false","red","","false"
"Admiral Beckett Brass","UNK","0","mage.cards.a.AdmiralBeckettBrass","3","3","","","4","common","CREATURE","HUMAN PIRATE","","{1}{U}{B}{R}","","true","true","false","true","false","multicolor","","false"
"Ajani Wise Counselor","UNK","0","mage.cards.a.AjaniWiseCounselor","","","5","","5","common","PLANESWALKER","AJANI","","{3}{W}{W}","","false","false","false","false","true","white","","false"
"Aven Liberator","UNK","0","mage.cards.a.AvenLiberator","2","3","","","4","common","CREATURE","BIRD SOLDIER","","{2}{W}{W}","","false","false","false","false","true","white","","false"
"Ajani Sleeper Agent","UNK","0","mage.cards.a.AjaniSleeperAgent","","","4","","5","common","PLANESWALKER","AJANI","","{1}{G}{G/W/P}{W}","","false","false","true","false","true","multicolor","","false"
"Ahn Crop Crasher","UNK","0","mage.cards.a.AhnCropCrasher","3","2","","","3","common","CREATURE","MINOTAUR WARRIOR","","{2}{R}","","false","false","false","true","false","red","","false"
"A Killer Among Us","UNK","0","mage.cards.a.AKillerAmongUs","","","","","5","common","ENCHANTMENT","","","{4}{G}","","false","false","true","false","false","green","","false"
"Absolver Thrull","UNK","0","mage.cards.a.AbsolverThrull","2","3","","","4","common","CREATURE","THRULL CLERIC","","{3}{W}","","false","false","false","false","true","white","","false"
"Avalanche Caller","UNK","0","mage.cards.a.AvalancheCaller","1","3","","","2","common","CREATURE","HUMAN WIZARD ELEMENTAL","","{1}{U}","","false","true","false","false","false","blue","","false"
"Arena","UNK","0","mage.cards.a.Arena","","","","","0","common","LAND","","","","","false","false","false","false","false","colorless","","false"
"Aang Air Nomad","UNK","0","mage.cards.a.AangAirNomad","5","4","","","5","common","CREATURE","HUMAN AVATAR ALLY","","{3}{W}{W}","","false","false","false","false","true","white","","false"
"Angelic Destiny","UNK","0","mage.cards.a.AngelicDestiny","","","","","4","common","ENCHANTMENT","AURA","","{2}{W}{W}","","false","false","false","false","true","white","","false"
"Annihilating Fire","UNK","0","mage.cards.a.AnnihilatingFire","","","","","3","common","INSTANT","","","{1}{R}{R}","","false","false","false","true","false","red","","false"
"Arcanis The Omnipotent","UNK","0","mage.cards.a.ArcanisTheOmnipotent","3","4","","","6","common","CREATURE","WIZARD","","{3}{U}{U}{U}","","false","true","false","false","false","blue","","false"
"Akim The Soaring Wind","UNK","0","mage.cards.a.AkimTheSoaringWind","3","4","","","5","common","CREATURE","BIRD DINOSAUR","","{2}{U}{R}{W}","","false","true","false","true","true","multicolor","","false"
"Armored Skaab","UNK","0","mage.cards.a.ArmoredSkaab","1","4","","","3","common","CREATURE","ZOMBIE WARRIOR","","{2}{U}","","false","true","false","false","false","blue","","false"
"Amy Pond","UNK","0","mage.cards.a.AmyPond","2","2","","","3","common","CREATURE","HUMAN","","{2}{R}","","false","false","false","true","false","red","","false"
"Anvil Of Bogardan","UNK","0","mage.cards.a.AnvilOfBogardan","","","","","2","common","ARTIFACT","","","{2}","","false","false","false","false","false","colorless","","false"
"Aviary Mechanic","UNK","0","mage.cards.a.AviaryMechanic","2","2","","","2","common","CREATURE","DWARF ARTIFICER","","{1}{W}","","false","false","false","false","true","white","","false"
"Aven Initiate","UNK","0","mage.cards.a.AvenInitiate","3","2","","","4","common","CREATURE","BIRD WARRIOR","","{3}{U}","","false","true","false","false","false","blue","","false"
"Avid Reclaimer","UNK","0","mage.cards.a.AvidReclaimer","2","2","","","3","common","CREATURE","HUMAN DRUID","","{2}{G}","","false","false","true","false","false","green","","false"
"Anticognition","UNK","0","mage.cards.a.Anticognition","","","","","2","common","INSTANT","","","{1}{U}","","false","true","false","false","false","blue","","false"
"An Unearthly Child","UNK","0","mage.cards.a.AnUnearthlyChild","","","","","3","common","ENCHANTMENT","SAGA","","{1}{U}{U}","","false","true","false","false","false","blue","","false"
"Ardent Plea","UNK","0","mage.cards.a.ArdentPlea","","","","","3","common","ENCHANTMENT","","","{1}{W}{U}","","false","true","false","false","true","multicolor","","false"
"Accursed Horde","UNK","0","mage.cards.a.AccursedHorde","3","3","","","4","common","CREATURE","ZOMBIE","","{3}{B}","","true","false","false","false","false","black","","false"
"Aerathi Berserker","UNK","0","mage.cards.a.AerathiBerserker","2","4","","","5","common","CREATURE","HUMAN BERSERKER","","{2}{R}{R}{R}","","false","false","false","true","false","red","","false"
"Ambassador Oak","UNK","0","mage.cards.a.AmbassadorOak","3","3","","","4","common","CREATURE","TREEFOLK WARRIOR","","{3}{G}","","false","false","true","false","false","green","","false"
"Archery Training","UNK","0","mage.cards.a.ArcheryTraining","","","","","1","common","ENCHANTMENT","AURA","","{W}","","false","false","false","false","true","white","","false"
